"Tema","Entidad","Indicador","link.de.consulta","2016","2018","2020","2021","2022","2023","2024","2025"
"Económico","Chihuahua","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,44310.4717993905,NA,46880.50869035,NA
"Económico","Ciudad de México","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,98697.9030713318,NA,110684.847460914,NA
"Económico","Ciudad de México","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,65088.5177144294,NA,66383.138326915,NA
"Económico","Durango","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,63234.4627432462,NA,69589.0916280382,NA
"Económico","Durango","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,39378.7939577639,NA,42456.3502509658,NA
"Económico","Guanajuato","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,66416.9631537111,NA,74544.7484356233,NA
"Económico","Guanajuato","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,40290.9693164881,NA,45569.5167070112,NA
"Económico","Guerrero","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,46142.952702687,NA,48547.9912159928,NA
"Económico","Guerrero","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,33728.5983575231,NA,34566.4107100241,NA
"Económico","Hidalgo","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,58829.6495576758,NA,59460.7850570816,NA
"Económico","Hidalgo","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,37668.4487822878,NA,36414.4698326987,NA
"Económico","Jalisco","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,79285.6802407912,NA,87198.982104813,NA
"Económico","Jalisco","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,49392.1649658734,NA,56015.2789827588,NA
"Económico","México","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,63248.4143896309,NA,74161.7932716856,NA
"Económico","México","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,42711.0878914801,NA,49594.734460579,NA
"Económico","Michoacán de Ocampo","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,62945.8110823788,NA,68233.8790480951,NA
