"Tema","Entidad","Indicador","link.de.consulta","2024_1t","2024_2t","2024_3t","2024_4t","2025_1t","2025_2t","2025_3t","2025_4t"
"Económico","Zacatecas","Desigualdad Laboral","https://mexicocomovamos.mx/datos/",0.341820199835865,0.338241809369947,0.349369556963211,0.332781312573275,0.340411753473404,0.334,0.333,NA
"Económico","Aguascalientes","Población Económicamente Activa PEA","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,683487,672436,673187,689025
"Económico","Aguascalientes","Población Ocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,668839,652132,651872,670177
"Económico","Aguascalientes","Población Desocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,14648,20304,21315,18848
"Económico","Aguascalientes","Tasa de Participación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,58.9,57.5,57.9,58.3
"Económico","Aguascalientes","Tasa de Desocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,2.1,3,3.2,2.7
"Económico","Aguascalientes","Tasa de Ocupación parcial y desocupación/","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,5.8,6.5,6.8,6
"Económico","Aguascalientes","Tasa de Presión general","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,4.3,4.8,4.4,4
"Económico","Aguascalientes","Tasa de Trabajo asalariado","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,75.7,76.8,77.6,77
"Económico","Aguascalientes","Tasa de Subocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,3.2,2.2,2.6,2.5
"Económico","Aguascalientes","Tasa de Condiciones críticas de ocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,22,21.8,24.9,28
"Económico","Aguascalientes","Tasa de Informalidad laboral","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,40.9,41.9,42,42.6
"Económico","Aguascalientes","Tasa de Ocupación en el sector informal","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,22.1,22.8,22.7,24
