"Tema","Indicador","Temporalidad","En_razon","Sentido","Descripción","Fuente","Unidad_medida"
"Económico","Leche de Caprino. Valor de la Producción (miles de pesos)","Anual","No","Más es mejor","Valor de la producción de leche de ganado caprino.","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Ganadera","Miles de pesos"
"Económico","Leche de Caprino. Volumen de la Producción (miles de litros)","Anual","No","Más es mejor","Producción de leche de ganado caprino.","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Ganadera","Miles de litros"
"Económico","Llegada de Turistas Totales a la Entidad","Anual","No","Más es mejor","Llegada de Turistas Totales a la Entidad","INEGI. México en Cifras. Tabulados de Integración. Turismo","Valor absoluto"
"Económico","Llegada de Turistas a la Entidad por Tipo de Turismo (extranjeros)","Anual","No","Más es mejor","Llegada de Turistas a la Entidad por Tipo de Turismo (extranjeros)","INEGI. México en Cifras. Tabulados de Integración. Turismo","Valor absoluto"
"Económico","Llegada de Turistas a la Entidad por Tipo de Turismo (nacionales)","Anual","No","Más es mejor","Llegada de Turistas a la Entidad por Tipo de Turismo (nacionales)","INEGI. México en Cifras. Tabulados de Integración. Turismo","Valor absoluto"
"Económico","Longitud de la Red Carretera Federal (kilometros)","Anual","No","Más es mejor","Registra el total de kilómetros de la red carretera federal.","INEGI. México en Cifras. Tabulados de Integración. Transporte","Kilometros"
"Económico","Longitud de la Red de Alimentadoras estatales (kilometros","Anual","No","Más es mejor","Registra el total de kilómetros de la red de carreteras alimentadoras estatales.","INEGI. México en Cifras. Tabulados de Integración. Transporte","Kilometros"
"Económico","Longitud de la Red de Brechas Mejoradas (kilometros)","Anual","No","Más es mejor","Registra el total de kilómetros de brechas mejoradas.","INEGI. México en Cifras. Tabulados de Integración. Transporte","Kilometros"
"Económico","Longitud de la Red de Caminos Rurales (kilometros)","Anual","No","Más es mejor","Registra el total de kilómetros de la red de caminos rurales.","INEGI. México en Cifras. Tabulados de Integración. Transporte","Kilometros"
"Económico","Miel. Valor de la Producción (miles de pesos)","Anual","No","Más es mejor","Valor de la producción de miel.","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Ganadera","Miles de pesos"
"Económico","Miel. Volumen de la Producción (toneladas)","Anual","No","Más es mejor","Producción de miel.","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Ganadera","Toneladas"
"Económico","Oferta de alojamiento en la entidad (cuartos)","Anual","No","Más es mejor","Disponibilidad de cuartos en los establecimientos de alojamiento","Secretaría de Turismo. DataTur","Número de cuartos"
"Económico","Patentes","Anual","No","Más es mejor","Una patente es un derecho exclusivo que concede el Estado para la protección de una invención, la que proporciona derechos exclusivos que permitirán utilizar y explotar su invención e impedir que terceros la utilicen sin su consentimiento.","Instituto Mexicano de la Pro´piedad Industrial","Número de patentes registradas"
"Económico","Población Desocupada","Trimestral","Si_100","Menos es mejor","Se refiere a personas que no tienen un trabajo pero están activamente buscando uno y están disponibles para trabajar.",NA,"Número de personas"
"Económico","Población Económicamente Activa PEA","Trimestral","Si_100","Más es mejor","Incluye a todas las personas de 15 años o más que están trabajando o buscando activamente empleo. Se compone de la población ocupada (quienes tienen un trabajo) y la población desocupada (quienes no tienen trabajo pero lo buscan activamente).","INEGI. Encuesta Nacional de Ocupación y Empleo ENOE","Número de personas"
"Económico","Población Ocupada","Trimestral","Si_100","Más es mejor","Se refiere al total de personas que tienen un empleo, ya sea remunerado o independiente, y que trabajan al menos una hora a la semana.",NA,"Número de personas"
"Económico","Porcentaje de ocupación en la entidad","Anual","No","Más es mejor","Porcentaje de ocupacion en establecimientos de alojamiento","Secretaría de Turismo. DataTur","Porcentaje"
"Económico","Producción Pesquera. Valor de la Producción (Peso vivo pesos)","Anual","No","Más es mejor","Valor de la producción pesquera.","CONAPESCA. Producción Anual Pesquera","Miles de pesos"
"Económico","Productividad Laboral","Trimestral","No","Más es mejor","Mide la desigualdad económica de una sociedad, mediante la exploración del nivel de concentración que existe en la distribución de los ingresos entre la población.","México ¿Cómo vamos?",NA
"Económico","Producto Interno Bruto (millones de pesos) / Porcentaje de ParticipaciÃ³n (VALORES CONSTANTES)","Anual","No","Más es mejor","Es el valor total de los bienes y servicios producidos en una región (en millones de pesos).",NA,"Millones de pesos"
"Económico","Superficie cosechada (hectáreas)","Anual","No","Más es mejor","Es la superficie de la cual se obtuvo producción, esta variable se genera a partir de que inicia la recolección, la cual puede ser en una sola ocasión como en el caso del Maíz Grano o del Frijol; o en varios cortes como ocurre con los cultivos de recolección, tales como el Tomate Rojo, el Chile verde o la Calabacita, incluye la superficie en que presentó siniestro parcial. Su unidad de medida es la hectarea.","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Agrícola","Hectáreas"
"Económico","Superficie sembrada (hectáreas)","Anual","No","Más es mejor","Es la superficie agrícola en la cual se deposita la semilla de cualquier cultivo, previa preparación del suelo y de la cual se lleva el seguimiento estadístico, es la variable más importante de las que genera la actividad agrícola y cuya unidad de medida es la hectarea.","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Agrícola","Hectáreas"
"Económico","Tasa de Condiciones críticas de ocupación","Trimestral","No","Menos es mejor","Éste es un indicador de condiciones inadecuadas de empleo desde el punto de vista del tiempo de trabajo, los ingresos o una combinación insatisfactoria de ambos y resulta particularmente sensible en las áreas rurales del país.",NA,"Casos por cada 100 mil habitantes"
"Económico","Tasa de Desocupación","Trimestral","No","Menos es mejor","Es el porcentaje de la Población Económicamente Activa (PEA) que está desempleada.",NA,"Casos por cada 100 mil habitantes"
"Económico","Tasa de Informalidad laboral","Trimestral","No","Menos es mejor","Proporción de la población ocupada laboralmente vulnerable, ya sea por la naturaleza de la unidad económica para la que trabajan o por carecer de un vínculo laboral no reconocido por su fuente de trabajo de acuerdo con el orden legal vigente.",NA,"Casos por cada 100 mil habitantes"
"Económico","Tasa de Ocupación en el sector informal","Trimestral","No","Menos es mejor","Es la proporción de personas que están en la ocupación ocupación informal como porcentaje de la ocupación total. la ocupación ocupación informal comprende a las personas que en su empleo principal o secundario",NA,"Casos por cada 100 mil habitantes"
"Económico","Tasa de Ocupación parcial y desocupación/","Trimestral","No","Menos es mejor","Considera a la población desocupada y la ocupada que trabajó menos de 15 horas a la semana, no importando si estos ocupados con menos de 15 horas que se añaden se hayan comportado o no como buscadores de empleo.",NA,"Casos por cada 100 mil habitantes"
"Económico","Tasa de Participación","Trimestral","No","Más es mejor","Es el porcentaje de la población en edad de trabajar (generalmente de 15 años o más) que está empleada o buscando activamente empleo.",NA,"Casos por cada 100 mil habitantes"
"Económico","Tasa de Presión general","Trimestral","No","Más es mejor","Incluye además de los desocupados, a los ocupados que buscan empleo, por lo que da una medida global de la competencia por plazas de trabajo conformada no sólo por los que quieren trabajar sino por los que teniendo un empleo quieren cambiarlo o también los que buscan otro más para tener un segundo trabajo.",NA,"Casos por cada 100 mil habitantes"
"Económico","Tasa de Subocupación","Trimestral","No","Más es mejor","Es el porcentaje de la población activa que no tiene empleo, pero está buscando activamente uno y está disponible para trabajar.",NA,"Casos por cada 100 mil habitantes"
"Económico","Tasa de Trabajo asalariado","Trimestral","No","Más es mejor","Representa a la población que percibe de la unidad económica para la que trabaja un sueldo, salario o jornal, por las actividades realizadas",NA,"Casos por cada 100 mil habitantes"
"Económico","Trabajadores Asegurados del IMSS","Mensual","Si_1000","Más es mejor","Puestos de trabajo registrados ante el IMSS","STPS con datos del IMSS","Total de trabajadores asegurados en el IMSS"
"Económico","Valor de la Producción agrícola (miles de pesos)","Anual","No","Más es mejor","Es el ingreso total generado por la producción de bienes agrícolas, calculado multiplicando el volumen producido por el precio promedio de los productos","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Agrícola","Miles de pesos"
"Económico","Volumen de la Producción Pesquera (Peso vivo kilogramos)","Anual","No","Más es mejor","Volumen de la Producción pesquera en peso vivo.","CONAPESCA. Producción Anual Pesquera","Kilogramos"
"Económico","Volumen de la Producción agrícola (toneladas)","Anual","No","Más es mejor","Es la cantidad de la producción agricola expresada en toneladas","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Agrícola","Toneladas"
"Económico","Índice de Competitividad Estatal (lugar nacional)","Anual","No","Más es mejor","Clasifica a los estados mexicanos según su capacidad para atraer y retener inversión y talento","Instituto Mexicano para la Competitividad A.C. IMCO.","Índice"
"Gobierno","Barometro de Informacion Presupuestal Estatal BIPE (cumplimiento, puntaje obtenido)","Anual","No","Más es mejor","Mide la calidad de la información presupuestal de las 32 entidades federativas del país.","Instituto Mexicano para la Competitividad A.C. IMCO","Porcentaje"
"Gobierno","Confianza en el Gobierno Estatal","Bianual","No","Más es mejor","Porcentaje de confianza en el gobierno estatal de la población de 18 años y más","INEGI. Encuesta Nacional de Calidad e Impacto Gubernamental ENCIG","Porcentaje"
"Gobierno","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","Bianual","No","Más es mejor","Población de 18 años y más que habita en áreas urbanas de cien mil habitantes y más según satisfacción con los servicios básicos","INEGI. Encuesta Nacional de Calidad e Impacto Gubernamental ENCIG","Porcentaje"
"Gobierno","Tasa de incidencia de corrupción por cada cien mil habitantes","Bianual","No","Menos es mejor","Tasa de la población mayor de 18 años, la cual fue víctima de algún acto de corrupción","INEGI. Encuesta Nacional de Calidad e Impacto Gubernamental ENCIG","Casos por cada 100 mil habitantes"
"Gobierno","Tasa de prevalencia de la corrupción por cada 100 mil habitantes","Bianual","No","Menos es mejor","Se calcula dividiendo el número de usuarios(as) que experimentaron algún acto de corrupción en al menos uno de los trámites que realizaron, entre la población que tuvo contacto con algún(a) servidor(a) público(a), multiplicada por cien mil.","INEGI. Encuesta Nacional de Calidad e Impacto Gubernamental ENCIG","Casos por cada 100 mil habitantes"
"Género","Brecha de ingresos por Género #Con Lupa de Género (Porcentaje)","Anual","No","Menos es mejor","Valor absoluto de la diferencia de ingresos mensuales promedio de hombres y mujeres entre los ingresos mensuales promedio de los hombres","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Porcentaje"
"Género","Cobertura de educación en la primera infancia #Con Lupa de Género (Porcentaje)","Anual","No","Más es mejor","Infancias de 0 a 5 años inscritos en una guardería, centro de cuidados o preescolar","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Porcentaje"
