"Tema","Entidad","Indicador","link.de.consulta","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Económico","Oaxaca","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,17221666,17483886,17758318,NA
"Económico","Puebla","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,268560555,271976715,279147019,NA
"Económico","Querétaro","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,488238557,492452255,504697517,NA
"Económico","Quintana Roo","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,8478336,8708628,8880822,NA
"Económico","San Luis Potosí","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,145333455,141783258,143899001,NA
"Económico","Sinaloa","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,18544293,194992533,198661314,NA
"Económico","Sonora","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,55501435,56336728,58832345,NA
"Económico","Tabasco","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,29973013,29050017,2924908,NA
"Económico","Tamaulipas","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,545051,56616,565997,NA
"Económico","Tlaxcala","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1032019,1090732,1086375,NA
"Económico","Veracruz de Ignacio de la Llave","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,644471461,695965158,715526743,NA
"Económico","Yucatán","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,226523209,233394865,243420075,NA
"Económico","Zacatecas","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,3966636,4051375,4046142,NA
"Económico","Baja California","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,37158,411089,45058,NA
"Económico","Baja California Sur","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,467212,46456,469721,NA
"Económico","Campeche","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,10423994,5582343,5278029,NA
"Económico","Coahuila de Zaragoza","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,560338,518562,42593,NA
"Económico","Colima","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1049169,1073721,1127916,NA
"Económico","Chiapas","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,9132318,9267316,7657278,NA
"Económico","Chihuahua","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,658653,529475,36943,NA
"Económico","Durango","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1726892,793997,535952,NA
"Económico","Guanajuato","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,660,7326,6796,NA
"Económico","Guerrero","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,3645966,3735144,331681,NA
"Económico","Hidalgo","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,3604333,3539512,266595,NA
"Económico","Jalisco","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,14470277,13454219,10482492,NA
"Económico","México","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1280226,1264724,1144326,NA
"Económico","Michoacán de Ocampo","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,6234327,5960486,4410894,NA
"Económico","Nayarit","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,79443,76213,741183,NA
"Económico","Nuevo León","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,195128,201915,19777,NA
"Económico","Oaxaca","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,9887445,9823498,8053583,NA
"Económico","Puebla","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,4597745,4380257,3142259,NA
"Económico","Querétaro","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,145389,108402,7079,NA
"Económico","Quintana Roo","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,8552321,6741971,5415444,NA
"Económico","San Luis Potosí","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,3282112,2744412,2078101,NA
