"Tema","Indicador","Temporalidad"
"Económico","Tasa de Presión General","Anual"
"Gobierno","Tasa de prevalencia de la corrupción","Anual"
"Social","Tasa de Quehaceres Domésticos en Condiciones no Adecuadas (porcentaje respecto a la población de 5 a 17 años)","Anual"
"Económico","Tasa de Subocupación","Anual"
"Económico","Tasa de Trabajo Asalariado","Anual"
"Social","Tasa de Trabajo Infantil (porcentaje respecto a la población de 5 a 17 años)","Anual"
"Económico","Trabajadores Asegurados Permanentes por el IMSS","Anual"
"Económico","Unidades Económicas","Anual"
"Económico","Valor de la Producción","Anual"
"Económico","Volumen de la Producción (toneladas)","Anual"
"Medio Ambiente","Volumen tratado en las PTARs  (Millones m3)","Anual"
"Todo","Económico: Trabajadores Asegurados Permanentes por el IMSS","Mensual"
"Todo","Seguridad: Aborto","Semestral"
"Todo","Seguridad: Abuso de confianza","Semestral"
"Todo","Seguridad: Abuso sexual","Semestral"
"Todo","Seguridad: Acoso sexual","Semestral"
"Todo","Seguridad: Allanamiento de morada","Semestral"
"Todo","Seguridad: Amenazas","Semestral"
"Todo","Seguridad: Contra el medio ambiente","Semestral"
"Todo","Seguridad: Corrupción de menores","Semestral"
"Todo","Seguridad: Daño a la propiedad","Semestral"
"Todo","Seguridad: Delitos cometidos por servidores públicos","Semestral"
"Todo","Seguridad: Despojo","Semestral"
"Todo","Seguridad: Electorales","Semestral"
"Todo","Seguridad: Evasión de presos","Semestral"
"Todo","Seguridad: Extorsión","Semestral"
"Todo","Seguridad: Falsedad","Semestral"
"Todo","Seguridad: Falsificación","Semestral"
"Todo","Seguridad: Feminicidio","Semestral"
"Todo","Seguridad: Fraude","Semestral"
"Todo","Seguridad: Homicidio","Semestral"
"Todo","Seguridad: Hostigamiento sexual","Semestral"
"Todo","Seguridad: Incesto","Semestral"
"Todo","Seguridad: Incumplimiento de obligaciones de asistencia familiar","Semestral"
"Todo","Seguridad: Lesiones","Semestral"
"Todo","Seguridad: Narcomenudeo","Semestral"
"Todo","Seguridad: Otros delitos contra el patrimonio","Semestral"
"Todo","Seguridad: Otros delitos contra la familia","Semestral"
"Todo","Seguridad: Otros delitos contra la sociedad","Semestral"
"Todo","Seguridad: Otros delitos del Fuero Común","Semestral"
"Todo","Seguridad: Otros delitos que atentan contra la libertad personal","Semestral"
"Todo","Seguridad: Otros delitos que atentan contra la libertad y la seguridad sexual","Semestral"
"Todo","Seguridad: Otros delitos que atentan contra la vida y la integridad corporal","Semestral"
"Todo","Seguridad: Rapto","Semestral"
"Todo","Seguridad: Robo","Semestral"
"Todo","Seguridad: Secuestro","Semestral"
"Todo","Seguridad: Trata de personas","Semestral"
"Todo","Seguridad: Tráfico de menores","Semestral"
"Todo","Seguridad: Violación equiparada","Semestral"
"Todo","Seguridad: Violación simple","Semestral"
"Todo","Seguridad: Violencia de género en todas sus modalidades distinta a la violencia familiar","Semestral"
"Todo","Seguridad: Violencia familiar","Semestral""Medio Ambiente"
"Todo","Económico: Aves Producción (toneladas)","Anual"
"Todo","Económico: Aves Valor de la Producción (miles de pesos)","Anual"
"Todo","Gobierno: Barometro de Información Presupuestal Estatal BIPE","Anual"
"Todo","Género: Brecha de ingresos por género #Con Lupa de Género (Porcentaje)","Anual"
"Todo","Medio Ambiente: Capacidad instalada en las PTARs  (Litros por segundo)","Anual"
"Todo","Social: Carencia por acceso a la seguridad social","Anual"
"Todo","Social: Carencia por acceso a los servicios de salud","Anual"
"Todo","Social: Carencia por calidad y espacios de la vivienda","Anual"
"Todo","Económico: Cera Producción (toneladas)","Anual"
"Todo","Económico: Cera Valor de la Producción (miles de pesos)","Anual"
"Todo","Género: Cobertura de educación en la primera infancia #Con Lupa de Género (Porcentaje)","Anual"
"Todo","Social: Cobertura Media Superior","Anual"
"Todo","Social: Cobertura Preescolar","Anual"
"Todo","Social: Cobertura Primaria","Anual"
"Todo","Social: Cobertura Secundaria","Anual"
"Todo","Gobierno: Confianza en el Gobierno Estatal","Anual"
"Todo","Económico: Crecimiento económico (porcentaje)","Anual"
"Todo","Económico: Cuartos de establecimientos de Hospedaje","Anual"
"Todo","Económico: Cuartos de Hospedaje según categoría 1 estrella","Anual"
"Todo","Económico: Cuartos de Hospedaje según categoría 2 estrellas","Anual"
"Todo","Económico: Cuartos de Hospedaje según categoría 3 estrellas","Anual"
"Todo","Económico: Cuartos de Hospedaje según categoría 4 estrellas","Anual"
"Todo","Económico: Cuartos de Hospedaje según categoría 5 estrellas","Anual"
"Todo","Económico: Cuartos de Hospedaje según categoría (sin categoría)","Anual"
"Todo","Género: Delitos sexuales #Con Lupa de Género","Anual"
"Todo","Género: Desigualdad en trabajo no remunerado (TNR) #Con Lupa de Género","Anual"
"Todo","Económico: Desigualdad laboral (coeficiente de Gini)","Anual"
"Todo","Económico: Deuda Pública (Porcentaje del PIB)","Anual"
"Todo","Social: Eficiencia Terminal Primaria","Anual"
"Todo","Social: Eficiencia Terminal Secundaria","Anual"
"Todo","Gobierno: Egresos brutos de los Gobiernos de los Estados (pesos)","Anual"
"Todo","Género: Embarazo Adolescente #Con Lupa de Género (Porcentaje)","Anual"
"Todo","Económico: Empleos Formales Generados Acumulados","Anual"
"Todo","Económico: Establecimiento de Hospedaje","Anual"
"Todo","Económico: Establecimiento de Hospedaje según categoría 1 estrella","Anual"
"Todo","Económico: Establecimiento de Hospedaje según categoría 2 estrellas","Anual"
"Todo","Económico: Establecimiento de Hospedaje según categoría 3 estrellas","Anual"
"Todo","Económico: Establecimiento de Hospedaje según categoría 4 estrellas","Anual"
"Todo","Económico: Establecimiento de Hospedaje según categoría 5 estrellas","Anual"
"Todo","Económico: Exportaciones","Anual"
"Todo","Económico: Ganado Bovino Producción (toneladas)","Anual"
"Todo","Económico: Ganado Bovino Valor de la Producción (miles de pesos)","Anual"
"Todo","Económico: Ganado Caprino Producción (toneladas)","Anual"
"Todo","Económico: Ganado Caprino Valor de la Producción (miles de pesos)","Anual"
"Todo","Económico: Ganado Ovino Producción (toneladas)","Anual"
"Todo","Económico: Ganado Ovino Valor de la Producción (miles de pesos)","Anual"
"Todo","Económico: Ganado Porcino Producción (toneladas)","Anual"
"Todo","Económico: Ganado Porcino Valor de la Producción (miles de pesos)","Anual"
"Todo","Económico: Gasto corriente promedio trimestral por hogar (tabla 4.7)","Anual"
"Todo","Social: Grado Promedio de Escolaridad","Anual"
"Todo","Económico: Guajolotes Producción (toneladas)","Anual"
"Todo","Económico: Guajolotes Valor de la Producción (miles de pesos)","Anual"
"Todo","Género: Homicidios dolosos de mujeres y feminicidios #Con Lupa de Género","Anual"
"Todo","Económico: Huevo para plato Producción (toneladas)","Anual"
"Todo","Económico: Huevo para plato Valor de la Producción (miles de pesos)","Anual"
"Todo","Económico: Indicador Mensual de la Actividad Industrial por Entidad Federativa (IMAIEF)","Anual"
"Todo","Económico: Índicador Trimestral de la Actividad Económica Estatal ITAEE","Anual"
"Todo","Económico: Índice de Competitividad Estatal ICE","Anual"
"Todo","Gobierno: Índice de Desarrollo Democrático IDD-Mex","Anual"
"Todo","Social: Índice de Intensidad Migratoria DP2","Anual"
"Todo","Económico: Índice de la Tendencia Laboral de la Pobreza (ITLP)","Anual"
"Todo","Social: Índice de marginación","Anual"
"Todo","Gobierno: Índice de Monitoreo y Evaluación","Anual"
"Todo","Social: Índice de Rezago Social","Anual"
"Todo","Social: Índice de Rezago Social Longitudinal","Anual"
"Todo","Gobierno: Índice de Transparencia y Disponibilidad de Información Fiscal ITDIF","Anual"
"Todo","Gobierno: Índice del Estado de Derecho","Anual"
"Todo","Gobierno: Índice Global de Impunidad","Anual"
"Todo","Género: Informalidad #Con Lupa de Género (Porcentaje)","Anual"
"Todo","Económico: Informalidad (porcentaje)","Anual"
"Todo","Económico: Ingreso corriente promedio trimestral por hogar","Anual"
"Todo","Económico: Ingreso laboral Per capita (Deflactado con la canasta alimentaria, pesos)","Anual"
"Todo","Económico: Ingreso laboral per cápita a pesos corrientes (nominal)","Anual"
"Todo","Gobierno: Ingresos brutos de los Gobiernos de los Estados (pesos)","Anual"
"Todo","Económico: Ingresos por Remesas (millones de dólares)","Anual"
"Todo","Económico: Inversión Extranjera Directa (IED) (millones de dólares)","Anual"
"Todo","Económico: Lana Producción (toneladas)","Anual"
"Todo","Económico: Lana Valor de la Producción (miles de pesos","Anual"
"Todo","Económico: Leche de Bovino Producción (toneladas)","Anual"
"Todo","Económico: Leche de Bovino Valor de la Producción (miles de pesos)","Anual"
"Todo","Económico: Leche de Caprino Producción (toneladas)","Anual"
"Todo","Económico: Leche de Caprino Valor de la Producción (miles de pesos)","Anual"
"Todo","Económico: Longitud de la Red Carretera Federal","Anual"
"Todo","Económico: Longitud de la Red de Alimentadoras estatales","Anual"
"Todo","Económico: Longitud de la Red de Brechas Mejoradas","Anual"
"Todo","Económico: Longitud de la Red de Caminos Rurales","Anual"
"Todo","Económico: Miel (Producción toneladas)","Anual"
"Todo","Económico: Miel (Valor de la Producción miles de pesos)","Anual"
"Todo","Social: Mortalidad Defunciones registradas","Anual"
"Todo","Social: Mortalidad Defunciones registradas en Accidentes de Tránsito","Anual"
"Todo","Género: Mujeres Preparadas #Con Lupa de Género (Porcentaje)","Anual"
"Todo","Género: Mujeres que quieren trabajar y no pueden #Con Lupa de Género (Porcentaje)","Anual"
"Todo","Gobierno: Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","Anual"
"Todo","Económico: Ocupación del Gobierno (Población ocupada en el gobierno como porcentaje de la población ocupada)","Anual"
"Todo","Género: Oferta de cuidados de adultos mayores #Con Lupa de Género","Anual"
"Todo","Económico: Patentes","Anual"
"Todo","Género: Percepción de inseguridad en transporte público #Con Lupa de Género (Porcentaje)","Anual"
"Todo","Género: Permisos de paternidad #Con Lupa de Género","Anual"
"Todo","Económico: Personal ocupado en las Unidades Económicas","Anual"
"Todo","Medio Ambiente: Plantas Tratadoras de Aguas residuales","Anual"
"Todo","Social: Población con Ingreso Inferior a la Línea de pobreza extrema por ingresos","Anual"
"Todo","Social: Población con Ingreso Inferior a la Línea de pobreza por ingresos","Anual"
"Todo","Económico: Población Desocupada","Anual"
"Todo","Económico: Población Económicamente Activa","Anual"
"Todo","Económico: Población Ocupada","Anual"
"Todo","Género: Pobreza laboral #Con Lupa de Género (Porcentaje)","Anual"
