"Tema","Entidad","Indicador","link.de.consulta","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Económico","Oaxaca","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,17221.666,17483.886,17758.318,NA
"Económico","Puebla","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,268560.555,271976.715,279147.019,NA
"Económico","Querétaro","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,488238.557,492452.255,504697.517,NA
"Económico","Quintana Roo","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,8478.336,8708.628,8880.822,NA
"Económico","San Luis Potosí","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,145333.455,141783.258,143899.001,NA
"Económico","Sinaloa","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,185442.93,194992.533,198661.314,NA
"Económico","Sonora","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,55501.435,56336.728,58832.345,NA
"Económico","Tabasco","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,29973.013,29050.017,29249.08,NA
"Económico","Tamaulipas","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,545.051,566.16,565.997,NA
"Económico","Tlaxcala","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1032.019,1090.732,1086.375,NA
"Económico","Veracruz de Ignacio de la Llave","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,644471.461,695965.158,715526.743,NA
"Económico","Yucatán","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,226523.209,233394.865,243420.075,NA
"Económico","Zacatecas","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,3966.636,4051.375,4046.142,NA
"Económico","Aguascalientes","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,NA,NA,0,NA
"Económico","Baja California","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,371.58,411.089,450.58,NA
"Económico","Baja California Sur","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,467.212,464.56,469.721,NA
"Económico","Campeche","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,10423.994,5582.343,5278.029,NA
"Económico","Chiapas","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,9132.318,9267.316,7657.278,NA
"Económico","Chihuahua","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,658.653,529.475,369.43,NA
"Económico","Ciudad de México","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,NA,NA,0,NA
"Económico","Coahuila de Zaragoza","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,560.338,518.562,425.93,NA
"Económico","Colima","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1049.169,1073.721,1127.916,NA
"Económico","Durango","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1726.892,793.997,535.952,NA
"Económico","Guanajuato","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,66,73.26,67.96,NA
"Económico","Guerrero","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,3645.966,3735.144,3316.81,NA
"Económico","Hidalgo","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,3604.333,3539.512,2665.95,NA
"Económico","Jalisco","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,14470.277,13454.219,10482.492,NA
"Económico","Michoacán de Ocampo","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,6234.327,5960.486,4410.894,NA
"Económico","Morelos","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,NA,NA,0,NA
"Económico","México","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1280.226,1264.724,1144.326,NA
"Económico","Nayarit","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,794.43,762.13,741.183,NA
"Económico","Nuevo León","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,195.128,201.915,197.77,NA
"Económico","Oaxaca","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,9887.445,9823.498,8053.583,NA
