"Tema","Entidad","Indicador","link.de.consulta","2024_1t","2024_2t","2024_3t","2024_4t","2025_1t","2025_2t","2025_3t","2025_4t"
"Económico","Colima","Tasa de Desocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"2.4","1.7634",NA,NA
"Económico","Colima","Tasa de Ocupación parcial y desocupación/","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"9.1","8.8567",NA,NA
"Económico","Colima","Tasa de Presión general","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"4.5","4.6808",NA,NA
"Económico","Colima","Tasa de Trabajo asalariado","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"69.7","69.5454",NA,NA
"Económico","Colima","Tasa de Subocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"3.8","3.915",NA,NA
"Económico","Colima","Tasa de Condiciones críticas de ocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"24.1","22.9931",NA,NA
"Económico","Colima","Tasa de Informalidad laboral","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"47.6","17.8011",NA,NA
"Económico","Colima","Tasa de Ocupación en el sector informal","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"18.6","48.2017",NA,NA
"Económico","Chiapas","Población Económicamente Activa PEA","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"2309506","2272301",NA,NA
"Económico","Chiapas","Población Ocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"2252361","2220465",NA,NA
"Económico","Chiapas","Población Desocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"57145","51836",NA,NA
"Económico","Chiapas","Tasa de Participación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"54.7","53.5811",NA,NA
